Product Title;Product Description;Variant Title;Price;SKU;Status
Czerwony Smok x8;Nori, Ryż, Sos kobe, Krewetka parzona, Avokado, Ogórek, Łosoś;SMOK;79;SMOK-001;active
Czarny smok x8;Nori, Ryż, Sos kobe, Avokado, Tamago, Tuńczyk, Ogórek, Węgorz;SMOK;71;SMOK-002;active
Zielony Smok x8;Nori, Ryż, Serek Philadelphia, Krewetki parzone, Ogórek, Awokado;SMOK;63;SMOK-003;active
Krewetki w tempurze 7 szt.;W zestawie 2 sosy sweet-chilli;PRZYSTAWKI;47;PRZYST-001;active
Krewetki w tempurze i panko 7 szt.;W zestawie 2 sosy sweet-chilli;PRZYSTAWKI;49;PRZYST-002;active
Krewetki w tempurze i migdałach 7 szt.;W zestawie 2 sosy sweet-chilli;PRZYSTAWKI;52;PRZYST-003;active
Pierożki gyoza warzywne 6 szt.;W zestawie sos sweet-chilli;PRZYSTAWKI;16;PRZYST-004;active
Sos Wasabi;30ml;Sosy;5;SOS-001;active
Sos Kabayaki;30ml;Sosy;5;SOS-002;active
Sos Spicy Mayo;30ml;Sosy;5;SOS-003;active
Sos Sweet Chili;30ml;Sosy;5;SOS-004;active
Woda niegazowana;;Napoje;7;NAP-001;active
Woda słabogazowana;;Napoje;7;NAP-002;active
Sok pomarańczowy;;Napoje;9;NAP-003;active
Sok jabłkowy;;Napoje;9;NAP-004;active
